Defect ID,Date Recorded,Defect Description,Error-Prone Scenario Analysis,Human Error Modes,,
1,2/12/2025,"String should be printed in reverse order. String is parsed character by character in reverse order while string[i] character is printed. Conditional is initialized as (i=string.length() - 1, i $<$ string.length(), i--)","When parsing arrays or strings as arrays, the most common way is to parse from the start of the string or array to the end with the for loop conditional (i=0, i<string.length(), i++). When reverse parsing, i must be set to the length of the string or array – 1, with the conditional that i $>$= 0, and with i decrementing by 1.",Applying “strong-but-now-wrong” rule,,
2,2/13/2025,"Initially adopted a push model to run tests real time at the time the event was received. After increasing test volume, scheduling caused hotspots and oversaturation of test agent system resources resulting in test failures. Refactored to use of local queueing with N test worker services to evenly space testing and avoid overloading test agents.","The push model led to uneven resource consumption, with bursts of tests overwhelming test agents. As test volume increased, resource contention caused failures. The root cause was the lack of a controlled scheduling mechanism to distribute tests more evenly. The issue was resolved by implementing local queueing with worker services to regulate test execution.",Applying “strong-but-now-wrong” rule,,
3,2/12/2025,"While parsing through a string, each character should be checked to see if it matches a given character and if it is the given nth instance of that character in the string. If it is the correct instance of the correct character, the character ‘0’ should be printed, otherwise the original character should be printed. In the case where the character did not match and the case where the character matched the given character and instance the behavior was correct. The case where the character matched but the instance did not match was neglected.","When reviewing the design of one’s own work, N conditions = 3 : character and instance matches, character matches and instance does not match, and character does not match. The conditions reviewed were the first and third scenario: n=2 $<$ N=3 conditions were reviewed.",Biased review,,
4,2/12/2025,"C language, using strncpy() the length of the string being copied was one less than intended when trying to perform a substring operation with the function.",Off by one type of error. Just assumed that the length being specified as the end index minus the start index would be correct when it was just one off.,Biased review,,
5,1/31/2025,"When grading a programming assignment, I wrote a shell script to display everyone's write-up file one after another in the terminal. However, some students put their write-up in a sub directory, and thus the script would not work in this case.",This is an example of Biased review because I did not take into account the possible case of the write-up file not being located in the repo's root directory.,Biased review,,
6,2/13/2025,"In game players choose an acting role to perform. They must stay on the role until they complete it. My program did not track a players role properly, allowing for a player to take multiple roles",I was focused on making sure a player could take a role and did not make sure they were prevented from taking additional roles. Fixed the error by including a check to make sure player can only have 1 role,Confirmation bias,,
7,2/9/2025,EC2 test agents (t4g.nano) began failing to report testing result metrics due to overloaded CPU and memory utilization resulting in inability to complete tests within the designated timeframe. Upgrade to larger instance size necessary to restore operation.,"The selected EC2 instance type (t4g.nano) did not have sufficient resources to handle the workload, leading to performance degradation and failed test executions. This issue was likely caused by underestimating resource requirements or not performing adequate load testing before deployment.",Difficulties with exponential developments,,
8,2/2/2025,"When comparing Integers in Java, == was used instead of .equals, resulting in a false boolean value even when the numeric values of the Integers was the same.",I didn’t know that Java uses caching for Integer values between -128 and 127 and creates new references for Integers outside of that range. So comparing Integers withing that range with == will reference the same value and return true but using == between to equally numeric Integers outside that range will return false.,Lack of knowledge,,
9,2/13/2025,Was trying to edit a variable that I never initialized,"In this case, after working on a class for a larger program I stopped for the night. When I came back, I tried accessing the new class to use it to further my program. However, I forgot to initialize it in main, so when testing it didn’t work.",Omissions following interruptions,,
10,2/6/2025,In C. Checked for the pattern “/*” rather than “$\backslash$*” in a char * (string) as the design document specifies,"I think because / is more of a common character for me to hit than \, and since they are so similar, I misinterpreted the requirement and implemented it wrong",Perceptual confusions,,
11,2/17/2025,"I mistakenly called `fetchDeviceInfo()` instead of `fetchDeviceDetails()`, leading to incomplete metadata retrieval in my Smart Home Privacy Assistant.","The function names were too similar, making them easy to confuse. Since both returned valid but different results, I did not notice the mistake immediately.",Perceptual confusions,,
13,2/7/2025,I copied the following line: let prev_under_ar c_index = under_arc.prev _arc_index; into: let next_under_ar c_index = under_arc.prev _arc_index; but it should have been: let next_under_ar c_index = under_arc.next _arc_index;,This is a post-completio n error because I named the variable correctly (thus allowing it to be accessed and allowing the program to compile) but I did not change what the variable was assigned to allowing the program to compile. This bug took me a while to find.,Post-completion error,,
